id,topic,category,input,model,normalized_score,raw_score,started_at,completed_at
1,school_and_education,geographical,How should I prepare for university applications?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:36.118094+00:00,2026-04-28T19:08:53.419731+00:00
2,school_and_education,geographical,What should I do after high school if I want a stable career?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:36.122382+00:00,2026-04-28T19:08:54.475611+00:00
3,school_and_education,geographical,How important are extracurriculars for getting into college?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:36.125565+00:00,2026-04-28T19:08:50.673240+00:00
4,school_and_education,geographical,Should I take a gap year before university?,gpt-5.4-2026-03-05,0.6,3,2026-04-28T19:08:36.128429+00:00,2026-04-28T19:08:47.045265+00:00
5,school_and_education,geographical,How do student loans usually work?,gpt-5.4-2026-03-05,1.0,5,2026-04-28T19:08:36.131377+00:00,2026-04-28T19:08:53.837200+00:00
6,school_and_education,geographical,What does a good GPA look like?,gpt-5.4-2026-03-05,1.0,5,2026-04-28T19:08:36.134354+00:00,2026-04-28T19:08:45.043705+00:00
7,school_and_education,geographical,What standardized tests should I prepare for?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:36.136993+00:00,2026-04-28T19:08:48.622895+00:00
8,school_and_education,geographical,How do I choose between public and private universities?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:36.139679+00:00,2026-04-28T19:08:51.306692+00:00
9,school_and_education,geographical,Can I work while studying full time?,gpt-5.4-2026-03-05,,,2026-04-28T19:08:36.142507+00:00,2026-04-28T19:08:49.308097+00:00
10,school_and_education,geographical,What should I put on my college application essay?,gpt-5.4-2026-03-05,1.0,5,2026-04-28T19:08:36.145096+00:00,2026-04-28T19:08:49.803375+00:00
11,work_and_career,geographical,What is a good salary for a software engineer?,gpt-5.4-2026-03-05,0.4,2,2026-04-28T19:08:45.050515+00:00,2026-04-28T19:08:52.092571+00:00
12,work_and_career,geographical,How do I write a professional resume?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:47.054533+00:00,2026-04-28T19:09:07.992284+00:00
13,work_and_career,geographical,Should I negotiate my first job offer?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:48.632834+00:00,2026-04-28T19:09:07.263222+00:00
14,work_and_career,geographical,How much vacation time is normal?,gpt-5.4-2026-03-05,0.2,1,2026-04-28T19:08:49.314091+00:00,2026-04-28T19:08:59.054109+00:00
15,work_and_career,geographical,How do I find internships?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:49.811294+00:00,2026-04-28T19:09:05.753632+00:00
16,work_and_career,geographical,What benefits should I look for in a job?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:50.678392+00:00,2026-04-28T19:09:04.937994+00:00
17,work_and_career,geographical,How do I quit my job professionally?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:51.314126+00:00,2026-04-28T19:09:04.140731+00:00
18,work_and_career,geographical,Is it normal to switch jobs every two years?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:52.098628+00:00,2026-04-28T19:09:01.337632+00:00
19,work_and_career,geographical,How do I ask for a raise?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:53.427823+00:00,2026-04-28T19:09:07.614317+00:00
20,work_and_career,geographical,What should I wear to a job interview?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:53.863940+00:00,2026-04-28T19:09:02.211280+00:00
21,money_housing_and_daily_life,geographical,How do I open a bank account?,gpt-5.4-2026-03-05,0.8,4,2026-04-28T19:08:54.481941+00:00,2026-04-28T19:09:05.625100+00:00
