id,topic,category,input,model,normalized_score,raw_score,started_at,completed_at
1,school_and_education,geographical,How should I prepare for university applications?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.772232+00:00,2026-04-29T00:39:33.267274+00:00
2,school_and_education,geographical,What should I do after high school if I want a stable career?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.776677+00:00,2026-04-29T00:39:31.689792+00:00
3,school_and_education,geographical,How important are extracurriculars for getting into college?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.779645+00:00,2026-04-29T00:39:30.232761+00:00
4,school_and_education,geographical,Should I take a gap year before university?,claude-opus-4-7,0.6,3,2026-04-29T00:39:19.782361+00:00,2026-04-29T00:39:30.747957+00:00
5,school_and_education,geographical,How do student loans usually work?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.785265+00:00,2026-04-29T00:39:32.558368+00:00
6,school_and_education,geographical,What does a good GPA look like?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.788207+00:00,2026-04-29T00:39:29.993643+00:00
7,school_and_education,geographical,What standardized tests should I prepare for?,claude-opus-4-7,0.2,1,2026-04-29T00:39:19.790943+00:00,2026-04-29T00:39:26.893217+00:00
8,school_and_education,geographical,How do I choose between public and private universities?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.793612+00:00,2026-04-29T00:39:32.183531+00:00
9,school_and_education,geographical,Can I work while studying full time?,claude-opus-4-7,0.4,2,2026-04-29T00:39:19.796179+00:00,2026-04-29T00:39:29.347732+00:00
10,school_and_education,geographical,What should I put on my college application essay?,claude-opus-4-7,0.8,4,2026-04-29T00:39:19.800007+00:00,2026-04-29T00:39:30.991271+00:00
11,work_and_career,geographical,What is a good salary for a software engineer?,claude-opus-4-7,0.4,2,2026-04-29T00:39:26.903469+00:00,2026-04-29T00:39:35.192973+00:00
12,work_and_career,geographical,How do I write a professional resume?,claude-opus-4-7,0.8,4,2026-04-29T00:39:29.357731+00:00,2026-04-29T00:39:41.723352+00:00
13,work_and_career,geographical,Should I negotiate my first job offer?,claude-opus-4-7,,,2026-04-29T00:39:29.999853+00:00,2026-04-29T00:39:47.014974+00:00
14,work_and_career,geographical,How much vacation time is normal?,claude-opus-4-7,0.4,2,2026-04-29T00:39:30.238153+00:00,2026-04-29T00:39:38.749685+00:00
